Data: 9,035,582,489 tokens
Creating model...

============================================================
2-Layer Mechanism Analysis Model Initialized
============================================================
  Embedding Dim:        768
  Heads:                12
  Head Dim:             64
  Block Size:           2048
  Normalization:        layernorm
  Regression Mode:      True
  Parameters:           53.40M
============================================================

Optimizer: 12 weight decay, 21 no decay
Training started!
iter 6900: loss=86711.2422, time=3244ms
iter 6950: loss=51456.0859, time=3243ms
iter 7000: loss=45109.3828, time=3242ms
iter 7050: loss=68270.5156, time=3808ms
iter 7100: loss=48685.0000, time=3243ms
iter 7150: loss=35341.3359, time=3242ms
iter 7200: loss=174815.6562, time=3244ms
iter 7250: loss=73298.3516, time=3242ms
iter 7300: loss=42087.2734, time=3243ms
iter 7350: loss=41639.7109, time=3243ms
iter 7400: loss=70575.5000, time=3244ms
iter 7450: loss=64113.7031, time=3243ms
iter 7500: loss=60610.2812, time=3242ms
iter 7550: loss=42539.8711, time=3776ms
iter 7600: loss=92997.1719, time=3242ms
iter 7650: loss=67953.0156, time=3241ms
iter 7700: loss=54561.6094, time=3241ms
iter 7750: loss=67698.6094, time=3241ms
iter 7800: loss=77340.4531, time=3241ms
iter 7850: loss=61444.1055, time=3241ms
iter 7900: loss=55941.3906, time=3241ms
iter 7950: loss=72311.7812, time=3242ms
iter 8000: loss=74317.4531, time=3242ms
iter 8050: loss=52518.7188, time=3772ms
iter 8100: loss=96496.7656, time=3241ms
iter 8150: loss=75919.2656, time=3241ms
iter 8200: loss=53739.9648, time=3241ms
iter 8250: loss=91287.4375, time=3241ms
iter 8300: loss=110886.9844, time=3240ms
iter 8350: loss=39751.7344, time=3240ms
iter 8400: loss=61939.5039, time=3241ms
iter 8450: loss=45361.5195, time=3241ms
iter 8500: loss=52928.0664, time=3241ms
iter 8550: loss=74993.5312, time=3801ms
iter 8600: loss=64216.3984, time=3241ms
iter 8650: loss=43814.5312, time=3240ms
iter 8700: loss=45982.9688, time=3240ms
iter 8750: loss=42092.7422, time=3240ms
iter 8800: loss=83435.4844, time=3240ms
iter 8850: loss=47755.4141, time=3241ms
iter 8900: loss=51998.2930, time=3239ms
iter 8950: loss=68296.3125, time=3239ms
iter 9000: loss=72272.3984, time=3239ms
iter 9050: loss=41767.9492, time=3817ms
iter 9100: loss=43981.7070, time=3240ms
iter 9150: loss=55175.0156, time=3240ms
iter 9200: loss=56393.5898, time=3239ms
iter 9250: loss=116290.2031, time=3240ms
iter 9300: loss=53314.4922, time=3240ms
iter 9350: loss=67660.6172, time=3239ms
iter 9400: loss=44794.2266, time=3240ms
iter 9450: loss=57626.9883, time=3239ms
iter 9500: loss=101844.1875, time=3239ms
iter 9550: loss=53777.4297, time=3804ms
iter 9600: loss=46046.8711, time=3240ms
iter 9650: loss=43130.2852, time=3238ms
iter 9700: loss=45668.2031, time=3239ms
iter 9750: loss=62019.2461, time=3239ms
iter 9800: loss=57642.9961, time=3239ms
iter 9850: loss=67685.5938, time=3238ms
iter 9900: loss=41999.1406, time=3238ms
iter 9950: loss=59890.3984, time=3239ms
Done!
